database,3D Interaction,ligand_id,pubchem_cid,cdot drug name,pdb_target_id,target chain id,malaria,pf_orth_pdb_target_id,gene id,gene name,3d_align_len,local_coverage,moa,Align Length,autodock_binding_affinity
Uniprot,2FUM_MIX_P62343.pdb,MIX,4212,mitoxantrone,2FUM,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.684,0.483,topoisomerase inhibitor,223,-7.83
Uniprot,2GDO_12C_P62343.pdb,12C,135399748,Chir-124,2GDO,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.684,0.416,CHK inhibitor,283,-10.16
Uniprot,2ITP_AEE_P62343.pdb,AEE,10297043,AEE788,2ITP,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.681,0.255,EGFR inhibitor|VEGFR inhibitor,238,-9.822
Uniprot,2ITT_AEE_P62343.pdb,AEE,10297043,AEE788,2ITT,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.711,0.228,EGFR inhibitor|VEGFR inhibitor,238,-9.638
Uniprot,2IVU_ZD6_P62343.pdb,ZD6,3081361,vandetanib,2IVU,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.679,0.33,EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,281,-9.218
Uniprot,2J50_627_P62343.pdb,627,11442891,Danusertib,2J50,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.74,0.357,Aurora kinase inhibitor|growth factor receptor inhibitor,278,-9.593
Uniprot,2J6M_AEE_P62343.pdb,AEE,10297043,AEE788,2J6M,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.679,0.268,EGFR inhibitor|VEGFR inhibitor,238,-9.749
Uniprot,2JIU_AEE_P62343.pdb,AEE,10297043,AEE788,2JIU,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.687,0.353,EGFR inhibitor|VEGFR inhibitor,238,-9.419
Uniprot,2JKK_BI9_Q6PLK2.pdb,BI9,9934347,NVP-TAE226,2JKK,A,Q6PLK2,A,PF3D7_1246900,RAC-beta serine/threonine protein kinase,0.664,0.349,protein tyrosine kinase inhibitor,257,-8.493
Uniprot,2O2S_TCL_Q9BH77.pdb,TCL,5564,triclosan,2O2S,A,Q9BH77,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.52,0.832,antibacterial agent,321,-7.688
Uniprot,2O2Y_TCL_Q9BH77.pdb,TCL,5564,triclosan,2O2Y,A,Q9BH77,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.322,0.948,antibacterial agent,349,-7.646
Uniprot,2PD3_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,2PD3,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.596,0.609,antibacterial agent,27.803,-7.778
Uniprot,2QIO_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,2QIO,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.563,0.695,antibacterial agent,25.387,-7.781
Uniprot,2RKU_R78_Q6PLK2.pdb,R78,11364421,BI-2536,2RKU,A,Q6PLK2,A,PF3D7_1246900,RAC-beta serine/threonine protein kinase,0.592,0.582,PLK inhibitor,237,-8.257
Uniprot,2UW7_GVP_P62343.pdb,GVP,11175137,AT7867,2UW7,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.681,0.466,AKT inhibitor,260,-8.706
Uniprot,2UW9_GVP_P62343.pdb,GVP,11175137,AT7867,2UW9,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.726,0.456,AKT inhibitor,276,-9.443
Uniprot,2V7A_627_P62343.pdb,627,11442891,Danusertib,2V7A,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.722,0.372,Aurora kinase inhibitor|growth factor receptor inhibitor,228,-9.346
Uniprot,2VCI_2GJ_Q25883.pdb,2GJ,135539077,Luminespib,2VCI,A,Q25883,A,PF3D7_0708400,heat shock protein 90,0.38,0.708,HSP inhibitor,215,-8.725
PlasmoDB,2VRX_447_O77239.pdb,447,9914412,quinazoline,2VRX,B,O77239,A,PF3D7_1337100,protein kinase 6,0.708,0.327,Aurora kinase inhibitor,296,-9.396
Uniprot,2WGJ_VGH_P90584.pdb,VGH,11626560,crizotinib,2WGJ,A,P90584,A,PF3D7_1014400,MO15-related protein kinase,0.671,0.311,ALK tyrosine kinase receptor inhibitor,294,-8.423
Uniprot,2WYW_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,2WYW,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.57,0.645,antibacterial agent,29.536,-7.751
Uniprot,2X9E_SVE_O15865.pdb,SVE,44556162,NMS-P715,2X9E,A,O15865,A,PF3D7_0610600,calcium-dependent protein kinase 2,0.693,0.281,protein kinase inhibitor,282,-10.05
Uniprot,2XJX_XJX_Q25869.pdb,XJX,11955716,AT13387,2XJX,A,Q25869,A,PF3D7_0708400,heat shock protein 90,0.464,0.622,HSP inhibitor,209,-9.118
Uniprot,2XP2_VGH_O77239.pdb,VGH,11626560,crizotinib,2XP2,A,O77239,A,PF3D7_1337100,protein kinase 6,0.681,0.249,ALK tyrosine kinase receptor inhibitor,251,-9.307
Uniprot,2Y7J_B49_O15906.pdb,B49,5329102,sunitinibum ,2Y7J,A,O15906,A,PF3D7_0934800,cAMP-dependent protein kinase catalytic subunit,0.681,0.392,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,220,-8.565
Uniprot,2YFX_VGH_O77239.pdb,VGH,11626560,crizotinib,2YFX,A,O77239,A,PF3D7_1337100,protein kinase 6,0.677,0.24,ALK tyrosine kinase receptor inhibitor,255,-9.437
Uniprot,3AM3_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,3AM3,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.299,0.972,antibacterial agent,99.696,-7.762
Uniprot,3AM5_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,3AM5,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.304,0.976,antibacterial agent,99.696,-7.7
Uniprot,3BYO_AM9_P62343.pdb,AM9,11785878,TC-S-7003,3BYO,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.698,0.33,SRC inhibitor,271,-10.11
PlasmoDB,3CR4_PNT_Q8IKV9.pdb,PNT,4735,pentamidine,3CR4,X,Q8IKV9,A,PF3D7_1423300,serine/threonine protein phosphatase 7,0.451,0.322,anti-pneumocystis agent,44,-6.668
PlasmoDB,3CR5_PNT_Q8ICR0.pdb,PNT,4735,pentamidine,3CR5,X,Q8ICR0,A,PF3D7_0610600,calcium-dependent protein kinase 2,0.633,0.352,anti-pneumocystis agent,28,-6.137
Uniprot,3F4B_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,3F4B,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.334,0.986,antibacterial agent,71.802,-7.775
PlasmoDB,3FBV_APJ_C0H5B8.pdb,APJ,42627755,APY-29,3FBV,N,C0H5B8,A,PF3D7_1316000,"glycogen synthase kinase-3 alpha, putative",0.655,0.345,serine/threonine kinase inhibitor,135,-8.754
Uniprot,3G0E_B49_P62343.pdb,B49,5329102,sunitinibum ,3G0E,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.721,0.283,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,293,-8.664
Uniprot,3GR6_TCL_Q9BH77.pdb,TCL,5564,triclosan,3GR6,A,Q9BH77,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.6,0.682,antibacterial agent,219,-7.679
Uniprot,3IK3_0LI_P62343.pdb,0LI,24826799,Ponatinib,3IK3,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.693,0.35,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor,228,-9.956
Uniprot,3KRR_DQX_O77239.pdb,DQX,46398810,NVP-BSK805,3KRR,A,O77239,A,PF3D7_1337100,protein kinase 6,0.645,0.25,JAK inhibitor,212,-11.45
Uniprot,3LQ8_88Z_P90584.pdb,88Z,42642645,Foretinib,3LQ8,A,P90584,A,PF3D7_1014400,MO15-related protein kinase,0.652,0.346,VEGFR inhibitor,229,-8.645
Uniprot,3MDY_LDN_O77239.pdb,LDN,25195294,LDN193189,3MDY,A,O77239,A,PF3D7_1337100,protein kinase 6,0.716,0.174,bone morphogenic protein inhibitor,220,-11.58
Uniprot,3MIY_B49_P62343.pdb,B49,5329102,sunitinibum ,3MIY,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.715,0.381,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,235,-8.017
Uniprot,3MY0_LDN_O77239.pdb,LDN,25195294,LDN193189,3MY0,A,O77239,A,PF3D7_1337100,protein kinase 6,0.725,0.166,bone morphogenic protein inhibitor,233,-10.75
Uniprot,3NRC_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,3NRC,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.572,0.646,antibacterial agent,25.322,-7.726
Uniprot,3NYN_SGV_O77239.pdb,SGV,14978,sangivamycin,3NYN,A,O77239,A,PF3D7_1337100,protein kinase 6,0.659,0.367,DNA inhibitor,302,-7.645
Uniprot,3OID_TCL_Q965D6.pdb,TCL,5564,triclosan,3OID,A,Q965D6,A,PF3D7_0922900,"coatomer subunit beta, putative",0.647,0.458,antibacterial agent,247,-6.665
Uniprot,3OIF_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,3OIF,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.555,0.667,antibacterial agent,26.462,-7.778
Uniprot,3OXZ_0LI_P62343.pdb,0LI,24826799,Ponatinib,3OXZ,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.653,0.354,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor,228,-9.978
Uniprot,3PJD_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,3PJD,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.554,0.642,antibacterial agent,25.957,-7.792
Uniprot,3PJE_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,3PJE,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.549,0.638,antibacterial agent,25.532,-7.789
Uniprot,3PJF_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,3PJF,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.579,0.648,antibacterial agent,25.532,-7.772
Uniprot,3PRS_RIT_Q2KNY9.pdb,RIT,392622,ritonavir,3PRS,A,Q2KNY9,A,PF3D7_1033800,plasmepsin VII,0.61,0.357,HIV protease inhibitor,354,-8.81
Uniprot,3Q4U_LDN_O77239.pdb,LDN,25195294,LDN193189,3Q4U,A,O77239,A,PF3D7_1337100,protein kinase 6,0.727,0.2,bone morphogenic protein inhibitor,234,-11.17
Uniprot,3Q70_RIT_Q17SC5.pdb,RIT,392622,ritonavir,3Q70,A,Q17SC5,A,PF3D7_1407800,plasmepsin IV,0.741,0.222,HIV protease inhibitor,27.545,-8.529
Uniprot,3QGT_CP6_A7UD79.pdb,CP6,4993,pyrimethamine,3QGT,A,A7UD79,A,PF3D7_0417200,bifunctional dihydrofolate reductase-thymidylate synthase,0.616,0.742,dihydrofolate reductase inhibitor,608,-7.014
PlasmoDB,3SDJ_APJ_C0H5B8.pdb,APJ,42627755,APY-29,3SDJ,N,C0H5B8,A,PF3D7_1316000,"glycogen synthase kinase-3 alpha, putative",0.638,0.332,serine/threonine kinase inhibitor,135,-8.666
Uniprot,3SFX_JAN_Q5EI72.pdb,JAN,159324,tipifarnib,3SFX,B,Q5EI72,A,PF3D7_1147500,protein farnesyltransferase subunit beta,0.634,0.379,farnesyltransferase inhibitor,53,-9.395
Uniprot,3SOA_DB8_O15865.pdb,DB8,5328940,bosutinib,3SOA,A,O15865,A,PF3D7_0610600,calcium-dependent protein kinase 2,0.609,0.289,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,301,-8.406
Uniprot,3TI1_B49_Q25826.pdb,B49,5329102,sunitinibum ,3TI1,A,Q25826,A,PF3D7_0417800,cdc2-related protein kinase 1,0.514,0.502,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,317,-8.681
Uniprot,3TNE_RIT_P46925.pdb,RIT,392622,ritonavir,3TNE,A,P46925,A,PF3D7_1408000,plasmepsin IV,0.742,0.171,HIV protease inhibitor,28.399,-8.208
Uniprot,3TUH_TUH_Q25869.pdb,TUH,135564985,ganetespib,3TUH,A,Q25869,A,PF3D7_0708400,heat shock protein 90,0.409,0.694,HSP inhibitor,208,-9.189
Uniprot,3UE4_DB8_Q6PLK2.pdb,DB8,5328940,bosutinib,3UE4,A,Q6PLK2,A,PF3D7_1246900,RAC-beta serine/threonine protein kinase,0.678,0.356,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,240,-7.963
Uniprot,3UM5_CP6_A7UD79.pdb,CP6,4993,pyrimethamine,3UM5,A,A7UD79,A,PF3D7_0417200,bifunctional dihydrofolate reductase-thymidylate synthase,0.519,0.874,dihydrofolate reductase inhibitor,608,-6.999
Uniprot,3ZBF_VGH_Q9U6R3.pdb,VGH,11626560,crizotinib,3ZBF,A,Q9U6R3,A,PF3D7_1014400,MO15-related protein kinase,0.689,0.338,ALK tyrosine kinase receptor inhibitor,240,-8.257
Uniprot,3ZOS_0LI_O15865.pdb,0LI,24826799,Ponatinib,3ZOS,A,O15865,A,PF3D7_0610600,calcium-dependent protein kinase 2,0.711,0.26,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor,253,-9.954
Uniprot,4AGD_B49_O77239.pdb,B49,5329102,sunitinibum ,4AGD,A,O77239,A,PF3D7_1337100,protein kinase 6,0.65,0.274,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,304,-9.041
Uniprot,4ALI_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,4ALI,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.588,0.652,antibacterial agent,28.959,-7.817
Uniprot,4ALL_TCL_Q9BH77.pdb,TCL,5564,triclosan,4ALL,A,Q9BH77,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.591,0.688,antibacterial agent,221,-7.675
Uniprot,4ANQ_VGH_O77239.pdb,VGH,11626560,crizotinib,4ANQ,A,O77239,A,PF3D7_1337100,protein kinase 6,0.698,0.253,ALK tyrosine kinase receptor inhibitor,251,-9.258
Uniprot,4ANS_VGH_P62343.pdb,VGH,11626560,crizotinib,4ANS,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.762,0.188,ALK tyrosine kinase receptor inhibitor,238,-9.043
Uniprot,4B7P_9UN_Q25869.pdb,9UN,135566652,NMS-E973,4B7P,A,Q25869,A,PF3D7_0708400,heat shock protein 90,0.399,0.673,HSP inhibitor,209,-9.465
Uniprot,4C2V_YJA_Q6PLK2.pdb,YJA,16007391,barasertib-HQPA,4C2V,A,Q6PLK2,A,PF3D7_1246900,RAC-beta serine/threonine protein kinase,0.702,0.374,Aurora kinase inhibitor,274,-8.264
Uniprot,4C8B_0LI_P62343.pdb,0LI,24826799,Ponatinib,4C8B,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.631,0.362,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor,284,-9.643
Uniprot,4G5J_0WM_O15865.pdb,0WM,10184653,Afatinib,4G5J,A,O15865,A,PF3D7_0610600,calcium-dependent protein kinase 2,0.643,0.253,EGFR inhibitor,222,-6.847
PlasmoDB,4I23_1C9_Q8I719.pdb,1C9,11511120,Dacomitinib,4I23,A,Q8I719,A,PF3D7_1436600,cGMP-dependent protein kinase,0.663,0.283,EGFR inhibitor,213,-8.982
PlasmoDB,4I24_1C9_Q8I719.pdb,1C9,11511120,Dacomitinib,4I24,B,Q8I719,A,PF3D7_1436600,cGMP-dependent protein kinase,0.674,0.207,EGFR inhibitor,213,-8.711
Uniprot,4I41_MIX_P62343.pdb,MIX,4212,mitoxantrone,4I41,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.703,0.397,topoisomerase inhibitor,291,-7.822
Uniprot,4I5M_R78_O77239.pdb,R78,11364421,BI-2536,4I5M,A,O77239,A,PF3D7_1337100,protein kinase 6,0.673,0.399,PLK inhibitor,212,-9.112
Uniprot,4JI9_1M3_O77239.pdb,1M3,16722832,TG101209,4JI9,A,O77239,A,PF3D7_1337100,protein kinase 6,0.654,0.261,JAK inhibitor,212,-10
Uniprot,4JSX_17G_Q6WWJ3.pdb,17G,51358113,1223001-51-1,4JSX,B,Q6WWJ3,A,PF3D7_0905900,"coatomer subunit beta, putative",0.619,0.009,mTOR inhibitor,108,-7.244
Uniprot,4KM0_CP6_A0A7M4BFP3.pdb,CP6,4993,pyrimethamine,4KM0,A,A0A7M4BFP3,A,PF3D7_0417200,bifunctional dihydrofolate reductase-thymidylate synthase,0.679,0.407,dihydrofolate reductase inhibitor,32.353,-7.033
Uniprot,4KS8_B49_O77239.pdb,B49,5329102,sunitinibum ,4KS8,A,O77239,A,PF3D7_1337100,protein kinase 6,0.639,0.404,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,281,-8.243
Uniprot,4LNG_JAN_Q5EI74.pdb,JAN,159324,tipifarnib,4LNG,B,Q5EI74,A,PF3D7_1147500,protein farnesyltransferase subunit beta,0.584,0.483,farnesyltransferase inhibitor,46,-9.928
Uniprot,4M89_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,4M89,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.535,0.656,antibacterial agent,28.571,-7.69
Uniprot,4MXO_DB8_O15865.pdb,DB8,5328940,bosutinib,4MXO,A,O15865,A,PF3D7_0610600,calcium-dependent protein kinase 2,0.64,0.301,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,217,-7.749
Uniprot,4MXX_DB8_Q6PLK2.pdb,DB8,5328940,bosutinib,4MXX,A,Q6PLK2,A,PF3D7_1246900,RAC-beta serine/threonine protein kinase,0.695,0.338,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,256,-7.912
Uniprot,4MXZ_DB8_O15865.pdb,DB8,5328940,bosutinib,4MXZ,A,O15865,A,PF3D7_0610600,calcium-dependent protein kinase 2,0.692,0.305,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,216,-8.049
Uniprot,4NCT_2K2_O77239.pdb,2K2,9829523,Midostaurin,4NCT,A,O77239,A,PF3D7_1337100,protein kinase 6,0.679,0.433,FLT3 inhibitor|KIT inhibitor|PKC inhibitor,345,-11.06
Uniprot,4NR0_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,4NR0,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.546,0.649,antibacterial agent,28.07,-7.496
Uniprot,4QMN_DB8_O77239.pdb,DB8,5328940,bosutinib,4QMN,A,O77239,A,PF3D7_1337100,protein kinase 6,0.637,0.405,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,286,-8.88
Uniprot,4QMZ_B49_O77239.pdb,B49,5329102,sunitinibum ,4QMZ,A,O77239,A,PF3D7_1337100,protein kinase 6,0.61,0.42,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,286,-8.592
Uniprot,4QO9_627_O77239.pdb,627,11442891,Danusertib,4QO9,A,O77239,A,PF3D7_1337100,protein kinase 6,0.604,0.368,Aurora kinase inhibitor|growth factor receptor inhibitor,286,-10.22
Uniprot,4QRC_0LI_O15865.pdb,0LI,24826799,Ponatinib,4QRC,A,O15865,A,PF3D7_0610600,calcium-dependent protein kinase 2,0.706,0.253,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor,248,-9.912
Uniprot,4R7L_SHH_O96935.pdb,SHH,5311,vorinostat,4R7L,A,O96935,A,PF3D7_1311800,M1-family alanyl aminopeptidase,0.697,0.209,HDAC inhibitor,460,-6.589
Uniprot,4RJD_TFP_P62343.pdb,TFP,5566,trifluoperazine,4RJD,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.634,0.561,dopamine receptor antagonist,70,-7.062
Uniprot,4RSY_B3N_O96935.pdb,B3N,3994,M-344,4RSY,A,O96935,A,PF3D7_1311800,M1-family alanyl aminopeptidase,0.701,0.203,HDAC inhibitor,460,-6.556
Uniprot,4RX0_D65_Q08210.pdb,D65,51347395,DSM265,4RX0,A,Q08210,A,PF3D7_0603300,dihydroorotate dehydrogenase,0.377,0.932,dihydroorotate dehydrogenase inhibitor,412,-7.197
Uniprot,4TNB_SGV_Q6PLK2.pdb,SGV,14978,sangivamycin,4TNB,A,Q6PLK2,A,PF3D7_1246900,RAC-beta serine/threonine protein kinase,0.677,0.379,DNA inhibitor,270,-7.056
Uniprot,4TYJ_0LI_O15865.pdb,0LI,24826799,Ponatinib,4TYJ,A,O15865,A,PF3D7_0610600,calcium-dependent protein kinase 2,0.725,0.32,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor,248,-9.601
Uniprot,4U0I_0LI_Q25758.pdb,0LI,24826799,Ponatinib,4U0I,A,Q25758,A,PF3D7_1431500,mitogen-activated protein kinase 1,0.737,0.259,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor,244,-9.995
PlasmoDB,5VC5_96M_Q25758.pdb,96M,5311382,PD-166285,5VC5,A,Q25758,A,PF3D7_1431500,mitogen-activated protein kinase 1,0.647,0.443,SRC inhibitor,149,-9.013
